,wbcode,country,ctrlcrp,goveff,polstab,regqual,lawrule,voicacc,colstart,colend,coldur,freesince,lastcol,cnticodenum
0,AGO,ANGOLA,7.2,9.9,16.517693,10.0,5.521905,13.023936,1576.0,1975.0,399.0,since 1970,portugal,Africa
1,ARE,UNITED ARAB EMIRATES,76.9,74.7,71.645004,72.3,73.55334,25.416414,1892.0,1971.0,79.0,since 1970,britain,Asia
2,ARG,ARGENTINA,44.0,54.7,42.286922,37.2,39.342857,57.229706,1580.0,1819.0,239.0,prior to 1880,spain,South America
3,ATG,ANTIGUA AND BARBUDA,82.111115,69.888885,75.540596,70.77778,80.45873,58.246227,1632.0,1981.0,349.0,since 1970,britain,North America
4,AUS,AUSTRALIA,94.5,94.9,84.71192,94.5,95.47238,94.086914,1829.0,1919.0,90.0,since 1880,britain,Oceania
5,BDI,BURUNDI,12.666667,7.2,5.375,10.0,9.284761,15.518397,1899.0,1962.0,63.0,since 1945,"other (IT, GE, NT), replace",Africa
6,BEN,BENIN,31.777779,40.3,62.615,38.8,40.29476,56.641716,1894.0,1960.0,66.0,since 1945,france,Africa
7,BFA,BURKINA FASO,50.5,26.0,41.129616,41.1,37.400475,37.092674,1895.0,1960.0,65.0,since 1945,france,Africa
8,BGD,BANGLADESH,12.2,25.0,15.805769,21.2,24.243809,34.299988,1857.0,1947.0,90.0,since 1945,britain,Asia
9,BHR,BAHRAIN,71.4,70.4,41.947308,75.4,69.31095,24.26833,1861.0,1971.0,110.0,since 1970,britain,Asia
10,BHS,BAHAMAS,88.1,84.7,77.22385,80.6,86.27143,84.52352,1783.0,1973.0,190.0,since 1970,britain,North America
11,BLZ,BELIZE,50.555557,53.9,60.109615,49.8,56.06762,72.46135,1524.0,1981.0,457.0,since 1970,britain,North America
12,BOL,BOLIVIA,29.9,36.6,27.056923,42.4,31.332857,49.771706,1559.0,1825.0,266.0,prior to 1880,spain,South America
13,BRA,BRAZIL,55.7,54.9,40.646923,58.3,45.401905,58.766083,1533.0,1822.0,289.0,prior to 1880,portugal,South America
14,BRB,BARBADOS,87.44444,87.22222,86.159996,82.1,83.13571,88.947365,1627.0,1966.0,339.0,since 1945,britain,North America
15,BRN,BRUNEI,66.0,76.4,90.19539,82.1,64.79286,21.385946,1888.0,1984.0,96.0,since 1970,britain,Asia
16,BTN,BHUTAN,76.666664,67.9,74.04808,37.8,56.879524,18.883245,1910.0,1949.0,39.0,since 1945,britain,Asia
17,BWA,BOTSWANA,77.9,72.9,78.9473,70.9,68.118095,68.13665,1895.0,1966.0,71.0,since 1945,britain,Africa
18,CAF,CENTRAL AFRICAN REPUBLIC,11.111111,4.8,12.486923,13.5,8.615238,20.55159,1906.0,1960.0,54.0,since 1945,france,Africa
19,CAN,CANADA,95.0,96.0,85.77385,93.0,95.17905,95.95584,1608.0,1919.0,311.0,since 1880,britain,North America
20,CHL,CHILE,89.2,85.9,69.43654,91.8,86.89524,77.46434,1541.0,1818.0,277.0,prior to 1880,spain,South America
21,CIV,COTE D'IVOIRE,22.2,18.2,11.962307,26.7,9.427619,14.891424,1889.0,1960.0,71.0,since 1945,france,Africa
22,CMR,CAMEROON,12.8,17.3,25.366154,24.4,12.72,17.678944,1884.0,1961.0,77.0,since 1945,britain,Africa
23,COD,"Congo, Dem. Rep.",2.1,1.5,0.99923074,4.0,1.094762,5.4243174,1885.0,1960.0,75.0,since 1945,"other (IT, GE, NT), replace",Africa
24,COG,CONGO,13.6,5.6,10.6050005,13.2,7.5261903,17.908588,1882.0,1960.0,78.0,since 1945,france,Africa
25,COL,COLOMBIA,44.0,52.5,6.0503845,56.6,27.198572,36.85613,1525.0,1820.0,295.0,prior to 1880,spain,South America
26,COM,COMOROS,21.555555,5.9,43.356922,8.3,15.606878,35.117996,1914.0,1975.0,61.0,since 1970,france,Africa
27,CPV,CAPE VERDE,65.22222,59.9,79.18654,45.3,66.07619,67.8908,1462.0,1975.0,513.0,since 1970,portugal,Africa
28,CRI,COSTA RICA,73.0,67.6,73.56731,69.0,66.21238,79.71851,1524.0,1821.0,297.0,prior to 1880,spain,North America
29,CUB,CUBA,52.6,31.2,43.965,7.8,16.816668,3.308699,1511.0,1899.0,388.0,since 1880,spain,North America
30,DJI,DJIBOUTI,32.77778,17.0,33.193077,24.3,29.58762,21.28081,1884.0,1977.0,93.0,since 1970,france,Africa
31,DMA,DOMINICA,71.888885,64.5,74.09957,67.3,67.917465,82.16506,1632.0,1978.0,346.0,since 1970,britain,North America
32,DOM,DOMINICAN REPUBLIC,35.4,41.1,45.02423,46.2,34.82381,52.279934,1495.0,1865.0,370.0,prior to 1880,spain,North America
33,DZA,ALGERIA,35.1,30.8,9.118462,23.5,24.765238,18.398865,1848.0,1962.0,114.0,since 1945,france,Africa
34,ECU,ECUADOR,20.3,19.6,20.798077,28.0,24.9,42.804466,1535.0,1829.0,294.0,prior to 1880,spain,South America
35,EGY,EGYPT,42.3,42.3,24.50154,39.8,53.21238,19.170954,1882.0,1935.0,53.0,since 1880,britain,Africa
36,ERI,ERITREA,54.666668,15.1,23.642693,11.9,31.669523,5.1785626,1890.0,1951.0,61.0,since 1945,britain,Africa
